# docs/_GOLDENS.tsv - recorded by docs/_gate.sh --record at git tag end-of-44.
# The baseline is a TAG, not a working tree: an uncommitted edit moves these numbers.
# assets: 442295511
# columns: scene	config	pass	ink	draws	objects	ppm_sha256_16
# MANDATORY - resolves entirely to tracked .pb; a fresh clone must reproduce these.
view_local	default	1	42963	11	148559	543abe8b205c2dc6
view_local	default	2	42963	11	148559	543abe8b205c2dc6
view_local	VIEWER_LINE_STYLE=tubes	1	42943	10	148559	d39f079e42684d4d
view_local	VIEWER_LINE_STYLE=tubes	2	42943	10	148559	d39f079e42684d4d
view_local	VIEWER_REBUILD=1	1	42963	11	148559	543abe8b205c2dc6
view_local	VIEWER_REBUILD=1	2	42963	11	148559	543abe8b205c2dc6
view_local	VIEWER_INCREMENTAL=1	1	42963	11	148559	543abe8b205c2dc6
view_local	VIEWER_INCREMENTAL=1	2	42963	11	148559	543abe8b205c2dc6
# ADVISORY - local-only scenes; gitignored .pb assets. Never fails the gate.
